,character_list,dialogue_list,episode_code,word_count
377,Zuko, Why? Are you worried I'm going to try and stop you?,103,11.0
378,Zhao,  You? Stop me? Impossible.,103,4.0
379,Zuko,"  Don't underestimate me, Zhao. I  capture the Avatar  you. ",103,9.0
380,Iroh,"  Prince Zuko, that's enough!",103,4.0
381,Zhao," You can't compete with me. I have hundreds of warships under my command, and you... you're just a banished prince. No home. No allies. Your own father doesn't even want you.",103,31.0
382,Zuko, You're wrong. Once I deliver the Avatar to my father he will welcome me home with honor and restore my rightful place on the throne.,103,25.0
383,Zhao,"  If your father really wanted you home, he'd have let you return by now, Avatar or no Avatar, but in his eyes you are a failure and a disgrace to the Fire Nation.",103,33.0
384,Zuko, That's not true.,103,3.0
385,Zhao, You have the scar to prove it.,103,7.0
386,Zuko,  Maybe you'd like one to match!,103,6.0
387,Zhao, Is that a challenge?,103,4.0
388,Zuko, An . At sunset.,103,4.0
389,Zhao, Very well. It's a shame your father won't be here to watch me humiliate you. I guess your uncle will do.,103,21.0
390,Iroh," Prince Zuko, have you forgotten what happened last time you dueled a master?",103,13.0
391,Zuko, I will never forget. ,103,4.0
